字段名,描述,备注
complain_cnt,最近Y年投诉的次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
noshow_rate,最近1年NOSHOW率,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_3y_amt,Y年机票总消费,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_avg_amt,机票平均消费,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_d_amt,最近Y年机票金额-国内,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_i_amt,最近Y年机票金额-国际,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_all_amt,最近Y年机票总金额,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_avg_amt,最近Y年平均机票金额,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_avg_disc,最近Y年平均机票折扣,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_return_cnt,最近Y年退票的次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_book_cnt,最近Y年总的订票次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_return_all_cnt,最近Y年总的换票次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_avg_interval,最近Y年平均订票时间间隔,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
tkt_interval,最近Y年订票时间区间,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_all_amt,积分余额,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_out_amt,当年失效的积分,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_accu_amt,最近Y年总累积积分分数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_cons_amt,最近Y年总消费积分分数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_avg_accu_amt,最近Y年平均累积积分分数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_avg_cons_amt,最近Y年平均消费积分分数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_accu_cnt,最近Y年总累积次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_cons_cnt,最近Y年总消费次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_air_amt,最近Y年积分增加-航空累积,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_non_amt,最近Y年积分增加-非航累积,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_buy_amt,最近Y年积分增加-积分购买,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_mnl_amt,最近Y年积分增加-手工增加,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_ech_amt,最近Y年积分增加-兑换取消,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_oth_amt,最近Y年积分增加-其他累积,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_tkt_amt,最近Y年积分减少-机票兑换,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_bag_amt,最近Y年积分减少-行李兑换,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_upg_amt,最近Y年积分减少-升舱兑换,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_mall_amt,最近Y年积分减少-商城兑换,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_selt_amt,最近Y年积分减少-选座兑换,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_out_amt,最近Y年积分减少-积分失效,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_oth_amt,最近Y年积分减少-其他兑换,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_air_cnt,最近Y年积分增加-航空累积(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_non_cnt,最近Y年积分增加-非航累积(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_buy_cnt,最近Y年积分增加-积分购买(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_mnl_cnt,最近Y年积分增加-手工增加(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_ech_cnt,最近Y年积分增加-兑换取消(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_oth_cnt,最近Y年积分增加-其他累积(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_tkt_cnt,最近Y年积分减少-机票兑换(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_bag_cnt,最近Y年积分减少-行李兑换(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_upg_cnt,最近Y年积分减少-升舱兑换(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_mall_cnt,最近Y年积分减少-商城兑换(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_selt_cnt,最近Y年积分减少-选座兑换(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_out_cnt,最近Y年积分减少-积分失效(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_des_oth_cnt,最近Y年积分减少-其他兑换(次数),m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_accu_non_cnt,非航累积总次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_accu_air_cnt,航空累积总次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_accu_air_amt,航空累积余额,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_accu_non_amt,非航累积余额,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_avg_amt,最近Y年航空累积平均积分数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_avg_interval,最近Y年航空累积平均时间间隔,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_now_cons_amt,当前消费积分余额,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_ech_avg_amt,最近Y年积分兑换平均值,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_out_avg_amt,最近Y年积分过期平均值,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_income_cnt,最近Y年消费积分收入次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_pay_cnt,最近Y年消费积分支出次数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_income_avg_amt,最近Y年消费积分收入平均值,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_pay_avg_amt,最近Y年消费积分支出平均值,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_add_chnl,最近Y年积分增加主要渠道,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_next_level_dist,距下一会员级别的会员积分差,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
pit_next_level_leg,距下一会员级别的行段数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
mdl_mcv,旅客价值,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
mdl_lost_idx,常旅客流失指数,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
mdl_influence,影响力,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
mdl_loyal,常旅客忠诚度评分,m3、m6、y1、y2、y3，指累计三个月、累计六个月、累计一年、累计两年和累计三年
